Id,Label
21690,Resident Evil 5 / Biohazard 5
6020,STAR WARS™ Jedi Knight: Jedi Academy™
6030,STAR WARS™ Jedi Knight II: Jedi Outcast™
32380,STAR WARS™ Jedi Knight: Dark Forces II
32390,STAR WARS™ Jedi Knight: Mysteries of the Sith™
32400,STAR WARS™: Dark Forces
550,Left 4 Dead 2
8980,Borderlands
41500,Torchlight
12710,Overlord: Raising Hell
12810,Overlord II
3170,King's Bounty: Armored Princess
25900,King's Bounty: The Legend
32430,STAR WARS™: The Force Unleashed™ Ultimate Sith Edition
22370,Fallout 3 - Game of the Year Edition
13520,Far Cry
19900,Far Cry 2
8850,BioShock 2
409720,BioShock 2 Remastered
33230,Assassin's Creed II
49900,Plain Sight
39500,Gothic 3
39510,Gothic II: Gold Edition
32470,STAR WARS™ Empire at War: Gold Pack
34010,Alpha Protocol
49400,Magic: The Gathering - Duels of the Planeswalkers
1500,Darwinia
1510,Uplink
1520,DEFCON
1530,Multiwinia
42670,Singularity
22350,BRINK
9500,Gish
22000,World of Goo
24420,Aquaria
25010,Lugaru HD 
40720,Samorost 2
41700,S.T.A.L.K.E.R.: Call of Pripyat
57300,Amnesia: The Dark Descent
63910,King's Bounty: Crossworlds
8930,Sid Meier's Civilization V
50620,Darksiders
462780,Darksiders Warmastered Edition
46450,Grotesque Tactics: Evil Heroes
22380,Fallout: New Vegas
32500,STAR WARS™: The Force Unleashed™ II
47810,Dragon Age: Origins - Ultimate Edition
65400,Archon:Classic
31280,Poker Night at the Inventory
18700,And Yet It Moves
31270,Puzzle Agent
58200,Jolly Rover
70400,Recettear: An Item Shop's Tale
48950,Greed Corp
26800,Braid
29180,Osmos
40700,Machinarium
93200,Revenge of the Titans
6600,Bullet Candy
8400,Geometry Wars: Retro Evolved
44100,Super Laser Racer
44200,Galcon Fusion
70300,VVVVVV
16450,F.E.A.R. 2: Project Origin
21090,F.E.A.R.
21110,F.E.A.R.: Extraction Point
21120,F.E.A.R.: Perseus Mandate
2760,Neverwinter Nights 2: Platinum
42910,Magicka
47780,Dead Space 2
620,Portal 2
4700,Total War: MEDIEVAL II - Definitive Edition
4760,Rome: Total War
10500,Total War: EMPIRE - Definitive Edition
34030,Total War: NAPOLEON - Definitive Edition
34330,Total War: SHOGUN 2
63200,Monday Night Combat
63000,HOARD
91200,Anomaly Warzone Earth
72200,Universe Sandbox
105600,Terraria
98200,Frozen Synapse
107300,Breath of Death VII 
107310,Cthulhu Saves the World 
26500,Cogs
26900,Crayon Physics Deluxe
41100,Hammerfight
55040,Atom Zombie Smasher 
96200,Steel Storm: Burning Retribution
70420,Chantelise
48000,LIMBO
2210,Quake 4
107100,Bastion
107200,Space Pirates and Zombies
28050,Deus Ex: Human Revolution
72850,The Elder Scrolls V: Skyrim
92800,SpaceChem
65800,Dungeon Defenders
102600,Orcs Must Die!
201280,Deus Ex: Human Revolution - The Missing Link
200910,Before the Echo
91600,Sanctum
110800,L.A. Noire
35720,Trine 2
41800,Gratuitous Space Battles
200900,Cave Story+
49470,Magic: The Gathering — Duels of the Planeswalkers 2012
98800,Dungeons of Dredmor
3830,Psychonauts
115100,Costume Quest
105800,PixelJunk Eden
204940,Crusader Kings Complete
203810,Dear Esther
520720,Dear Esther: Landmark Edition
205790,Dota 2 Test
204880,Sins of a Solar Empire: Rebellion
207170,Legend of Grimrock
203770,Crusader Kings II
203630,Warlock - Master of the Arcane
207610,The Walking Dead
208140,Endless Space
212680,FTL: Faster Than Light
42170,Krater
108710,Alan Wake
202750,Alan Wake's American Nightmare
201790,Orcs Must Die! 2
49520,Borderlands 2
211420,DARK SOULS™: Prepare To Die Edition
215280,Secret World Legends
205190,Rocksmith
208580,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™
200510,XCOM: Enemy Unknown
219740,Don't Starve
322330,Don't Starve Together
200710,Torchlight II
205100,Dishonored
214560,Mark of the Ninja
218680,Scribblenauts Unlimited
223830,Xenonauts
113020,Monaco
219890,Antichamber
227220,Sang-Froid - Tales of Werewolves
233740,Organ Trail: Director's Cut
8870,BioShock Infinite
232050,Eador. Masters of the Broken World
234650,Shadowrun Returns
222730,Reus
228960,Skulls of the Shogun
9480,Saints Row 2
40390,Risen 2 - Dark Waters
55230,Saints Row: The Third
225640,Sacred 2 Gold
91310,Dead Island
40300,Risen
43110,Metro 2033
207930,Sacred Citadel
234390,Teleglitch: Die More Edition
221680,Rocksmith® 2014 Edition - Remastered
860950,Mark of the Ninja: Remastered
248820,Risk of Rain
262060,Darkest Dungeon®
262790,Our Darker Purpose
239840,Dead State
41900,The Bard's Tale
240760,Wasteland 2
259130,Wasteland 1 - The Original Classic
404730,Wasteland 2: Director's Cut
300550,Shadowrun: Dragonfall - Director's Cut
237990,The Banner Saga
281640,The Banner Saga 2
281990,Stellaris
247000,Talisman: Digital Edition
256290,Child of Light
246110,MASSIVE CHALICE
304650,Sunless Sea
241930,Middle-earth™: Shadow of Mordor™
321800,Icewind Dale: Enhanced Edition
289130,Endless Legend
249050,Dungeon of the Endless
235620,Small World 2
337150,Sentinels of the Multiverse
370360,TIS-100
243970,"Invisible, Inc."
377160,Fallout 4
381780,80 Days
268500,XCOM 2
359320,Elite Dangerous
489830,The Elder Scrolls V: Skyrim Special Edition
531640,Eternal Card Game
480490,Prey
718670,Cultist Simulator
485460,The Banner Saga 3
220,Half-Life 2
240,Counter-Strike: Source
320,Half-Life 2: Deathmatch
340,Half-Life 2: Lost Coast
4540,Titan Quest
4550,Titan Quest: Immortal Throne
475150,Titan Quest Anniversary Edition
360,Half-Life Deathmatch: Source
380,Half-Life 2: Episode One
420,Half-Life 2: Episode Two
8200,Sam & Max 101: Culture Shock
8210,Sam & Max 102: Situation: Comedy
8220,"Sam & Max 103: The Mole, the Mob and the Meatball"
8240,Sam & Max 105: Reality 2.0
8250,Sam & Max 106: Bright Side of the Moon
8260,Sam & Max 201: Ice Station Santa
