,friend_out
724,76561197982451733
725,76561197982823247
726,76561197982826060
727,76561197983061901
728,76561197983232759
729,76561197983237928
730,76561197983416349
731,76561197984184900
732,76561197984471493
733,76561197984601628
734,76561197985436166
735,76561197985551320
736,76561197985664194
737,76561197986997267
738,76561197987039115
739,76561197988400875
740,76561197988543686
741,76561197988632779
742,76561197988886134
743,76561197989002504
744,76561197989088832
745,76561197989154528
746,76561197989443275
747,76561197990446149
748,76561197990596163
749,76561197990644378
750,76561197990649382
751,76561197991047085
752,76561197991873054
753,76561197992239238
754,76561197994100183
755,76561197994127219
756,76561197994218527
757,76561197994504295
758,76561197994570609
759,76561197994729360
760,76561197995109770
761,76561197995378577
762,76561197995388818
763,76561197995868362
764,76561197996004972
765,76561197996011433
766,76561197996340525
767,76561197997194915
768,76561197997769548
769,76561197997840043
770,76561197998260395
771,76561197998422716
772,76561197998426224
773,76561197998604389
774,76561197999208959
775,76561197999279429
776,76561198000117949
777,76561198000714024
778,76561198001196942
779,76561198001364223
780,76561198002426852
781,76561198002736566
782,76561198003183272
783,76561198003224023
784,76561198003543790
785,76561198004416676
786,76561198006574970
787,76561198007092918
788,76561198007441894
789,76561198007756393
790,76561198008423610
791,76561198009205720
792,76561198009347920
793,76561198009380806
794,76561198009590190
795,76561198010236041
796,76561198010528434
797,76561198011127292
798,76561198011246044
799,76561198011450525
800,76561198013884703
801,76561198014978676
802,76561198015078568
803,76561198015245864
804,76561198015474077
805,76561198016920812
806,76561198018902817
807,76561198020092845
808,76561198020316838
809,76561198022880878
810,76561198024157814
811,76561198024253616
812,76561198024970782
813,76561198024972351
814,76561198025043609
815,76561198025241379
816,76561198025309623
817,76561198025581311
818,76561198025600466
819,76561198025738749
820,76561198026218432
821,76561198026302443
822,76561198027484609
823,76561198029893628
824,76561198031442970
825,76561198031756520
826,76561198034470927
827,76561198035885402
828,76561198036025224
829,76561198039227679
830,76561198039259280
831,76561198040661786
832,76561198040753432
833,76561198040818141
834,76561198040864012
835,76561198041310158
836,76561198042039280
837,76561198043376411
838,76561198043883923
839,76561198044500678
840,76561198044520402
841,76561198044876473
842,76561198045122881
843,76561198046188302
844,76561198046973090
845,76561198047455946
846,76561198048871496
847,76561198049017214
848,76561198050007134
849,76561198050277429
850,76561198050712965
851,76561198053228057
852,76561198055503625
853,76561198057137720
854,76561198060950052
855,76561198062801261
856,76561198065827840
857,76561198067021037
858,76561198068377365
859,76561198068790509
860,76561198071561365
861,76561198071565176
862,76561198079657970
863,76561198079763861
864,76561198080477742
865,76561198099867572
866,76561198107698411
867,76561198124383152
868,76561198130673544
869,76561198145457401
870,76561198157241018
871,76561198169318626
872,76561198201030730
873,76561198282566542
874,76561198285174748
875,76561198309352582
876,76561198334467730
877,76561197965152260
878,76561197966899425
879,76561197974553664
880,76561197980827487
881,76561197981157450
882,76561197982591044
883,76561197990685984
884,76561197993083220
885,76561197993458638
886,76561197995062860
887,76561198001247910
888,76561198008597875
889,76561198013154793
890,76561198018553615
891,76561198024986581
892,76561198028346697
893,76561198036071053
894,76561198039990163
895,76561198040741231
896,76561198051500846
897,76561198052913186
898,76561198055808850
899,76561198116605305
900,76561198155623877
901,76561198241242594
902,76561197960680702
903,76561197960869554
904,76561197961019029
905,76561197961371159
906,76561197963876634
907,76561197967903163
908,76561197969268440
909,76561197969373846
910,76561197972100809
911,76561197972363382
912,76561197974133555
913,76561197974316173
914,76561197974553664
915,76561197976972550
916,76561197978431979
917,76561197979810625
918,76561197979975870
919,76561197980991076
920,76561197981887484
921,76561197982363252
922,76561197982715839
923,76561197982933050
924,76561197984256726
925,76561197986461495
926,76561197987157157
927,76561197987684407
928,76561197989553023
929,76561197990880716
930,76561197991204494
931,76561197992441267
932,76561197993699405
933,76561197993757326
934,76561197996410123
935,76561197996569069
936,76561197998854825
937,76561198001046368
938,76561198003176987
939,76561198004667990
940,76561198004783253
941,76561198005658518
942,76561198005813340
943,76561198007445384
944,76561198009458876
945,76561198010028860
946,76561198011133401
947,76561198013197957
948,76561198016549590
949,76561198025065402
950,76561198026528312
951,76561198030040509
952,76561198031675009
953,76561198033103817
954,76561198033723459
955,76561198034070553
956,76561198034841259
957,76561198035606046
958,76561198037479531
959,76561198039769328
960,76561198045669506
961,76561198045720670
962,76561198046810411
963,76561198047596455
964,76561198052649803
965,76561198053370422
966,76561198053754325
967,76561198055639575
968,76561198055889269
969,76561198060328333
970,76561198065553069
971,76561198073306353
972,76561198074688988
973,76561198076716827
974,76561198078823124
975,76561198091691731
976,76561198099957756
977,76561198100974606
978,76561198117421181
979,76561198121663263
980,76561198124775082
981,76561198124870621
982,76561198126739055
983,76561198128095502
984,76561198132555164
985,76561198137433309
986,76561198139404576
987,76561198144956831
988,76561198146597953
989,76561198149045771
990,76561198163775963
991,76561198172730145
992,76561198172902674
993,76561198212820376
994,76561198215266689
995,76561198216555375
996,76561198216719700
997,76561198251730824
998,76561198296107841
999,76561198307143931
1000,76561198370189140
1001,76561198375506223
1002,76561198386555349
1003,76561198799200153
